Parent,Child,Parent_size,Child_size,Parent_box_no,Child_box_no,Order,Overlap_perc,Participant_id,Image,Rotation_difference,Sym_axis_overlap
946.0,945.0,168498.0,32994.0,1.0,0.0,Child to Parent,0.9680851063829787,118.0,EVA - 388808.jpg,0.0,0.7173100871731009
948.0,947.0,46010.0,20880.0,1.0,0.0,Child to Parent,1.0,118.0,EVA - 29164.jpg,46.391943049500384,0.07267267267267268
949.0,947.0,267840.00000000006,20880.0,2.0,0.0,Child to Parent,1.0,118.0,EVA - 29164.jpg,46.391943049500384,0.0
949.0,948.0,267840.00000000006,46010.0,2.0,1.0,Child to Parent,1.0,118.0,EVA - 29164.jpg,46.391943049500384,0.0
952.0,951.0,166666.0,29099.999999999993,1.0,0.0,Child to Parent,0.9598970162189601,118.0,MIRFLICKR25 - im12315.jpg,7.860881500219719,0.0
956.0,957.0,113408.0,17200.000000000004,1.0,2.0,Parent to Child,0.9954114305206831,118.0,VIU - image_r_739.jpg,90.0,0.0667562724014337
956.0,958.0,113408.0,3726.0,1.0,3.0,Parent to Child,1.0,118.0,VIU - image_r_739.jpg,90.0,0.0
956.0,959.0,113408.0,15750.0,1.0,4.0,Parent to Child,1.0,118.0,VIU - image_r_739.jpg,90.0,0.08171521035598706
956.0,960.0,113408.0,14125.0,1.0,5.0,Parent to Child,1.0,118.0,VIU - image_r_739.jpg,90.0,0.01283987915407855
956.0,961.0,113408.0,2790.0,1.0,6.0,Parent to Child,1.0,118.0,VIU - image_r_739.jpg,90.0,0.0
960.0,961.0,14125.0,2790.0,5.0,6.0,Parent to Child,0.8888888888888888,118.0,VIU - image_r_739.jpg,90.0,0.15858453473132372
986.0,987.0,174840.0,174840.0,0.0,1.0,Parent to Child,0.9867021276595744,121.0,kazuo-nakamura_spatial-concept-1968.jpg,90.0,0.028995926192187875
995.0,996.0,2720.0,2720.0,0.0,1.0,Parent to Child,0.9516544117647059,121.0,janos-mattis-teutsch_white-cross-1918.jpg,90.0,0.279445727482679
1006.0,1007.0,56609.99931573869,18468.0000382066,0.0,1.0,Parent to Child,0.9210526331268513,124.0,richard-tuttle_two-with-any-2-1-1999.jpg,90.0,0.06201947719118401
1107.0,1108.0,20480.0,20480.0,2.0,3.0,Parent to Child,0.9743408203125,130.0,COCO - 000000240323.jpg,90.0,0.08126259234385494
1112.0,1111.0,111267.0,111266.99999999999,1.0,0.0,Child to Parent,0.9782014225736371,130.0,COCO - 000000055735.jpg,89.06535696524823,0.03391255605381166
1116.0,1117.0,1804.0,1804.0,0.0,1.0,Parent to Child,0.9312638580931264,130.0,MemCat - n02932891_23097.jpg,90.0,0.3746130030959752
1121.0,1118.0,18335.0,17480.0,3.0,0.0,Child to Parent,0.9947368421052631,130.0,VIU - image_r_628.jpg,90.0,0.10746003552397869
1119.0,1122.0,8740.0,8645.0,1.0,4.0,Parent to Child,0.9835164835164835,130.0,VIU - image_r_628.jpg,90.0,0.11070448307410796
1120.0,1123.0,9310.0,8645.0,2.0,5.0,Parent to Child,1.0,130.0,VIU - image_r_628.jpg,90.0,0.10746003552397869
1126.0,1127.0,21158.0,595.0,0.0,1.0,Parent to Child,1.0,130.0,EVA - 694264.jpg,0.0,0.0
1126.0,1128.0,21158.0,616.0,0.0,2.0,Parent to Child,1.0,130.0,EVA - 694264.jpg,0.0,0.0
1218.0,1215.0,63162.0,7872.000000000002,3.0,0.0,Child to Parent,1.0,133.0,fred-yates_on-the-promenade-1.jpg,1.8156029866248389,0.8662551440329218
1358.0,1359.0,54044.0,51815.0,0.0,1.0,Parent to Child,0.979253112033195,142.0,MemCat - 000000547131.jpg,90.0,0.046538461538461535
1360.0,1361.0,36400.0,31320.0,0.0,1.0,Parent to Child,0.9827586206896551,142.0,EVA - 29164.jpg,0.0,0.0
1362.0,1360.0,207200.0,36400.0,2.0,0.0,Child to Parent,1.0,142.0,EVA - 29164.jpg,0.0,0.0
1362.0,1361.0,207200.0,31320.0,2.0,1.0,Child to Parent,1.0,142.0,EVA - 29164.jpg,0.0,0.0
1397.0,1400.0,14820.000167340038,2310.000090003016,4.0,7.0,Parent to Child,0.8636363651757398,145.0,anna-ostroumova-lebedeva_chain-bridge-in-st-petersburg-1903.jpg,0.0,0.31474597273853777
1453.0,1452.0,120329.99896094203,43199.99982714653,1.0,0.0,Child to Parent,1.0,145.0,caspar-david-friedrich_wc-churchyard-gate-by-friedrich.jpg,0.0,0.7293540474243663
1581.0,1582.0,197730.00000000006,197730.0,0.0,1.0,Parent to Child,0.996162440575076,157.0,paul-feeley_untitled.jpg,90.28628267047328,0.027682452528025623
1629.0,1628.0,140999.99495446708,12495.000199973578,1.0,0.0,Child to Parent,1.0000000000000002,166.0,COCO - 000000055735.jpg,43.76731593732913,0.0
1666.0,1667.0,145923.0,80088.0,0.0,1.0,Parent to Child,1.0,169.0,jimmy-ernst_moonscape-1969.jpg,12.741156324031778,0.5460218408736349
1666.0,1668.0,145923.0,36378.0,0.0,2.0,Parent to Child,1.0,169.0,jimmy-ernst_moonscape-1969.jpg,12.741156324031778,0.7306666666666667
1666.0,1669.0,145923.0,30916.0,0.0,3.0,Parent to Child,1.0,169.0,jimmy-ernst_moonscape-1969.jpg,12.741156324031778,0.04083698953763078
1666.0,1670.0,145923.0,7935.999999999997,0.0,4.0,Parent to Child,0.9999999999999999,169.0,jimmy-ernst_moonscape-1969.jpg,12.741156324031778,0.0
1667.0,1668.0,80088.0,36378.0,1.0,2.0,Parent to Child,0.9946808510638298,169.0,jimmy-ernst_moonscape-1969.jpg,12.741156324031778,0.8226666666666667
1667.0,1669.0,80088.0,30916.0,1.0,3.0,Parent to Child,1.0,169.0,jimmy-ernst_moonscape-1969.jpg,12.741156324031778,0.04083698953763078
1667.0,1670.0,80088.0,7935.999999999997,1.0,4.0,Parent to Child,0.9538527993991155,169.0,jimmy-ernst_moonscape-1969.jpg,12.741156324031778,0.0
1668.0,1670.0,36378.0,7935.999999999997,2.0,4.0,Parent to Child,0.9579075131629166,169.0,jimmy-ernst_moonscape-1969.jpg,12.741156324031778,0.0
1684.0,1685.0,91000.0,6490.000000000002,0.0,1.0,Parent to Child,1.0,169.0,claude-viallat_untitled-2007-235-2007.jpg,1.210294168921223,0.001366120218579235
1684.0,1686.0,91000.0,6489.999999999998,0.0,2.0,Parent to Child,1.0,169.0,claude-viallat_untitled-2007-235-2007.jpg,1.210294168921223,0.0
1684.0,1687.0,91000.0,6489.999999999998,0.0,3.0,Parent to Child,0.9991922030589496,169.0,claude-viallat_untitled-2007-235-2007.jpg,1.210294168921223,0.0
1684.0,1688.0,91000.0,6490.000000000001,0.0,4.0,Parent to Child,1.0,169.0,claude-viallat_untitled-2007-235-2007.jpg,1.210294168921223,0.0
1684.0,1689.0,91000.0,6490.000000000005,0.0,5.0,Parent to Child,0.9814711386350174,169.0,claude-viallat_untitled-2007-235-2007.jpg,1.210294168921223,0.0
1684.0,1690.0,91000.0,6489.999999999998,0.0,6.0,Parent to Child,1.0,169.0,claude-viallat_untitled-2007-235-2007.jpg,1.210294168921223,0.0
1684.0,1691.0,91000.0,40716.0,0.0,7.0,Parent to Child,0.9724391688560514,169.0,claude-viallat_untitled-2007-235-2007.jpg,1.210294168921223,0.6884729064039409
1707.0,1706.0,21942.0,8004.0,2.0,1.0,Child to Parent,0.9791979010494752,169.0,louis-vivin_au-bord-de-la-rivi-re-en-hiver-1930.jpg,0.0,0.9012517385257302
1900.0,1901.0,102800.0,102800.0,0.0,1.0,Parent to Child,0.9880739299610894,196.0,ad-reinhardt_abstract-painting-1957.jpg,90.0,0.05759162303664921
1916.0,1915.0,185472.0,96600.0,1.0,0.0,Child to Parent,0.9927536231884058,196.0,kazuo-nakamura_spatial-concept-1968.jpg,90.0,0.0281068524970964
1917.0,1918.0,87467.99864196777,14673.000079780808,0.0,1.0,Parent to Child,1.0,199.0,COCO - 000000217793.jpg,0.0,0.0
