Participant_id,Image,Num_boxes,Num_nestings,Num_nestings_pc,Num_nestings_cp
61,cy-twombly_untitled-blooming-a-scattering-of-blossoms-other-things.jpg,2,0,0,0
61,aleksey-savrasov_village-bulgarians-small-minaret-and-the-ruins-of-the-white-house-1874.jpg,2,0,0,0
61,alighiero-boetti_pier-piet-1974.jpg,1,0,0,0
61,ilya-mashkov_still-life-fruits-1910.jpg,1,0,0,0
61,fernando-botero_a-stroll-by-the-lakeside.jpg,1,0,0,0
61,abraham-manievich_camden-1923.jpg,1,0,0,0
61,joan-snyder_sigh-2006.jpg,7,0,0,0
61,albert-marquet_pons-charente-maritime-1901.jpg,1,0,0,0
61,john-hoyland_dido-1979.jpg,2,0,0,0
61,koloman-moser_meadow.jpg,1,0,0,0
61,henri-rousseau_view-of-the-banks-of-the-oise-1906.jpg,2,0,0,0
61,john-henry-twachtman_the-portico.jpg,3,0,0,0
61,paul-feeley_untitled.jpg,1,0,0,0
61,hiro-yamagata_marriage-1986.jpg,3,0,0,0
61,patrick-caulfield_three-sausages-1978.jpg,1,0,0,0
61,boris-kustodiev_ukrainian-landscape-1925.jpg,3,0,0,0
61,jack-bush_blue-bar-1970.jpg,7,0,0,0
61,edouard-manet_peaches-1882.jpg,1,0,0,0
61,francisco-de-zurbaran_still-life-1633.jpg,3,0,0,0
61,janos-mattis-teutsch_white-cross-1918.jpg,2,0,0,0
76,fred-yates_on-the-promenade-1.jpg,1,0,0,0
76,caspar-david-friedrich_wc-churchyard-gate-by-friedrich.jpg,3,0,0,0
76,canaletto_feast-of-san-rocco-the-doge-visiting-the-church-and-scuola-di-s-rocco.jpg,1,0,0,0
76,camille-pissarro_brickworks-at-eragny-1888.jpg,1,0,0,0
76,egon-schiele_four-trees-1917.jpg,1,0,0,0
76,anne-appleby_jasmine-2000.jpg,2,0,0,0
76,david-smith_untitled-1963.jpg,7,0,0,0
76,armand-guillaumin_la-campagne-1895.jpg,1,0,0,0
76,aki-kuroda_night-2011.jpg,2,0,0,0
76,jury-annenkov_view-of-paris-from-meudon.jpg,1,0,0,0
76,bela-czobel_still-life-with-oranges.jpg,1,0,0,0
76,louis-vivin_au-bord-de-la-rivi-re-en-hiver-1930.jpg,1,0,0,0
76,ion-pacea_natur-static-cu-vas-i-fructe.jpg,1,0,0,0
76,georges-braque_the-pink-napkin-1933.jpg,1,0,0,0
76,jack-bush_blue-bar-1970.jpg,1,0,0,0
76,alexandre-benois_church-of-st-catherine-in-st-petersburg(1).jpg,1,0,0,0
76,ernst-ludwig-kirchner_sertigweg-1926.jpg,1,0,0,0
76,anne-appleby_crocus-2012.jpg,4,0,0,0
76,albert-marquet_pons-charente-maritime-1901.jpg,1,0,0,0
76,louay-kayyali_maaloula-1963.jpg,1,0,0,0
79,EVA - 250452.jpg,1,0,0,0
79,EVA - 64085.jpg,3,0,0,0
79,AADB - farm1_386_19811231159_d495bef4f2_b.jpg,3,0,0,0
79,EVA - 904635.jpg,3,0,0,0
79,COCO - 000000195724.jpg,5,0,0,0
79,AADB - farm4_3708_20118214951_4b050ec0bc_b.jpg,5,0,0,0
79,MemCat - n09308572_1901.jpg,2,0,0,0
79,flower102 - image_00258.jpg,3,0,0,0
79,VIU - image_r_739.jpg,5,0,0,0
79,EVA - 830948.jpg,3,0,0,0
79,COCO - 000000104809.jpg,3,0,0,0
79,VIU - image_r_462.jpg,3,0,0,0
79,FLICKR-AES -farm7_6053_6350472737_fe30840524.jpg,3,0,0,0
79,COCO - 000000152341.jpg,3,0,0,0
79,COCO - 000000027667.jpg,1,0,0,0
79,FLICKR-AES -farm6_5539_12268592753_35580969ef.jpg,3,0,0,0
79,FLICKR-AES -farm6_5714_22882197537_538c5baa83_b.jpg,1,0,0,0
79,EVA - 339282.jpg,2,0,0,0
79,MIRFLICKR25 - im446.jpg,1,0,0,0
79,EVA - 4310.jpg,1,0,0,0
79,EVA - 388808.jpg,1,0,0,0
79,BSD - 227040.jpg,1,0,0,0
79,EVA - 345387.jpg,1,0,0,0
79,COCO - 000000014855.jpg,1,0,0,0
79,MIRFLICKR25 - im14193.jpg,1,0,0,0
82,MIRFLICKR25 - im1440.jpg,1,0,0,0
82,COCO - 000000366713.jpg,1,0,0,0
82,EVA - 333631.jpg,1,0,0,0
82,BSD - 188063.jpg,1,0,0,0
82,COCO - 000000349425.jpg,1,0,0,0
82,FLICKR-AES -farm6_5501_11641391566_705dac07d7.jpg,2,0,0,0
82,COCO - 000000439840.jpg,2,0,0,0
82,COCO - 000000347953.jpg,1,0,0,0
82,EVA - 11651.jpg,2,0,0,0
82,EVA - 773785.jpg,2,0,0,0
82,MIRFLICKR25 - im2910.jpg,1,0,0,0
82,EVA - 38963.jpg,1,0,0,0
82,MIRFLICKR25 - im12013.jpg,2,0,0,0
82,COCO - 000000022340.jpg,1,0,0,0
82,MIRFLICKR25 - im1385.jpg,1,0,0,0
82,AADB - farm1_329_20012633540_412149c7b8_b.jpg,1,0,0,0
82,CAT2000 -169.jpg,1,0,0,0
82,FLICKR-AES -farm6_5716_21600000562_90ab122fe5_b.jpg,2,0,0,0
82,EVA - 695818.jpg,1,0,0,0
82,EVA - 5789.jpg,1,0,0,0
82,COCO - 000000150237.jpg,1,0,0,0
82,VIU - image_r_371.jpg,2,0,0,0
82,EVA - 79346.jpg,3,0,0,0
82,EVA - 771322.jpg,1,0,0,0
82,AADB - farm1_268_19534013654_50c879f919_b.jpg,1,0,0,0
106,COCO - 000000022340.jpg,1,0,0,0
106,COCO - 000000037038.jpg,1,0,0,0
106,COCO - 000000069826.jpg,1,0,0,0
106,FLICKR-AES -farm7_6053_6329816112_1a295212d2.jpg,7,1,1,0
106,COCO - 000000012986.jpg,1,0,0,0
106,FLICKR-AES -farm8_7132_13703186195_f9d4069305_b.jpg,1,0,0,0
106,FLICKR-AES -farm8_7002_6540390947_7c734bd6f0.jpg,1,0,0,0
106,COCO - 000000244666.jpg,1,0,0,0
106,COCO - 000000027667.jpg,1,0,0,0
106,COCO - 000000051484.jpg,1,0,0,0
106,flower102 - image_00258.jpg,2,0,0,0
106,EVA - 343625.jpg,1,0,0,0
106,MIRFLICKR25 - im15245.jpg,1,0,0,0
106,COCO - 000000150237.jpg,1,0,0,0
106,EVA - 837782.jpg,1,0,0,0
106,FLICKR-AES -farm7_6047_6286524252_fcefeda806.jpg,1,0,0,0
106,VIU - image_r_371.jpg,1,0,0,0
106,MIRFLICKR25 - im1385.jpg,1,0,0,0
106,EVA - 333631.jpg,1,0,0,0
106,VIU - image_r_462.jpg,2,0,0,0
106,COCO - 000000148772.jpg,1,0,0,0
106,COCO - 000000268146.jpg,1,0,0,0
106,MIRFLICKR25 - im24659.jpg,1,0,0,0
106,COCO - 000000466132.jpg,2,0,0,0
106,EVA - 482449.jpg,1,0,0,0
109,camille-pissarro_the-street-of-the-citadelle-pontoise-1873.jpg,7,1,1,0
109,chaim-soutine_the-table.jpg,4,1,0,1
109,joan-miro_bird-s-flight-in-moonlight.jpg,6,1,0,1
109,forrest-bess_the-three-doors-1959.jpg,5,4,0,4
